Input	Output
5033  2.20156555772994      0.12786885245901627	5034  2.20156555772994       0.1241830065359488
5034  2.20156555772994       0.1241830065359488	5035  2.07827788649706       0.0488599348534182
5035  2.07827788649706       0.0488599348534182	5036  2.07827788649706       0.0488599348534182
5036  2.07827788649706       0.0488599348534182	5037  2.07827788649706     0.058441558441556574
5037  2.07827788649706     0.058441558441556574	5038  2.07827788649706      0.06188925081433105
5038  2.07827788649706      0.06188925081433105	5039  2.07827788649706       0.0653594771241825
5039  2.07827788649706       0.0653594771241825	5040  2.07827788649706      0.06840390879478836
5040  2.07827788649706      0.06840390879478836	5041  2.07827788649706       0.1606557377049177
5041  2.07827788649706       0.1606557377049177	5042  2.07827788649706      0.15686274509804005
5042  2.07827788649706      0.15686274509804005	5043  2.07827788649706      0.15686274509804005
5043  2.07827788649706      0.15686274509804005	5044  2.04305283757339      0.15686274509804005
5044  2.04305283757339      0.15686274509804005	5045  2.04305283757339      0.15686274509804005
5045  2.04305283757339      0.15686274509804005	5046  2.04305283757339      0.15409836065573795
5046  2.04305283757339      0.15409836065573795	5047  2.04305283757339      0.15409836065573795
5047  2.04305283757339      0.15409836065573795	5048  2.04305283757339      0.15409836065573795
5048  2.04305283757339      0.15409836065573795	5049  2.04305283757339      0.15409836065573795
5049  2.04305283757339      0.15409836065573795	5050  2.04305283757339      0.15409836065573795
5050  2.04305283757339      0.15409836065573795	5051  2.04305283757339      0.14754098360655976
5051  2.04305283757339      0.14754098360655976	5052  2.04305283757339      0.14754098360655976
5052  2.04305283757339      0.14754098360655976	5053  2.04305283757339      0.14754098360655976
5053  2.04305283757339      0.14754098360655976	5054  2.04305283757339      0.14754098360655976
5054  2.04305283757339      0.14754098360655976	5055  2.04305283757339      0.14473684210526497
5055  2.04305283757339      0.14473684210526497	5056  2.02544031311155      0.14098360655737813
5056  2.02544031311155      0.14098360655737813	5057  2.02544031311155      0.13725490196078463
5057  2.02544031311155      0.13725490196078463	5058  1.99021526418787      0.13725490196078463
5058  1.99021526418787      0.13725490196078463	5059  1.99021526418787      0.13355048859934815
5059  1.99021526418787      0.13355048859934815	5060  1.99021526418787      0.12987012987012872
5060  1.99021526418787      0.12987012987012872	5061  1.99021526418787      0.12418300653594688
5061  1.99021526418787      0.12418300653594688	5062  2.00782778864971      0.12418300653594688
5062  2.00782778864971      0.12418300653594688	5063  2.00782778864971      0.12418300653594688
5063  2.00782778864971      0.12418300653594688	5064  2.00782778864971      0.12131147540983465
5064  2.00782778864971      0.12131147540983465	5065  2.00782778864971      0.11764705882352919
5065  2.00782778864971      0.11764705882352919	5066  2.00782778864971      0.11764705882352919
5066  2.00782778864971      0.11764705882352919	5067  2.00782778864971      0.11764705882352919
5067  2.00782778864971      0.11764705882352919	5068  2.00782778864971      0.11184210526315805
5068  2.00782778864971      0.11184210526315805	5069  2.00782778864971      0.11184210526315805
5069  2.00782778864971      0.11184210526315805	5070  2.00782778864971      0.10819672131147484
5070  2.00782778864971      0.10819672131147484	5071  2.00782778864971      0.10819672131147484
5071  2.00782778864971      0.10819672131147484	5072  2.00782778864971      0.10819672131147484
5072  2.00782778864971      0.10819672131147484	5073  2.00782778864971      0.10457516339869333
5073  2.00782778864971      0.10457516339869333	5074  2.00782778864971      0.10457516339869333
5074  2.00782778864971      0.10457516339869333	5075  2.00782778864971      0.10163934426229508
5075  2.00782778864971      0.10163934426229508	5076  2.00782778864971      0.09803921568627566
5076  2.00782778864971      0.09803921568627566	5077  2.00782778864971      0.09803921568627566
5077  2.00782778864971      0.09803921568627566	5078  2.00782778864971      0.09508196721311679
5078  2.00782778864971      0.09508196721311679	5079  2.00782778864971      0.09508196721311679
5079  2.00782778864971      0.09508196721311679	5080  2.00782778864971      0.09446254071661281
5080  2.00782778864971      0.09446254071661281	5081  2.00782778864971      0.09210526315789619
5081  2.00782778864971      0.09210526315789619	5082  1.99021526418787      0.08496732026143794
5082  1.99021526418787      0.08496732026143794	5083  1.99021526418787      0.08196721311475504
5083  1.99021526418787      0.08196721311475504	5084  1.99021526418787      0.08196721311475504
5084  1.99021526418787      0.08196721311475504	5085  2.00782778864971      0.07590759075907565
5085  2.00782778864971      0.07590759075907565	5086  2.00782778864971      0.07236842105263061
5086  2.00782778864971      0.07236842105263061	5087  1.97260273972603      0.06885245901639186
5087  1.97260273972603      0.06885245901639186	5088  1.97260273972603       0.0653594771241825
5088  1.97260273972603       0.0653594771241825	5089  1.97260273972603     0.062295081967211986
5089  1.97260273972603     0.062295081967211986	5090  1.97260273972603      0.07236842105263061
5090  1.97260273972603      0.07236842105263061	5091  1.97260273972603     0.059210526315789345
5091  1.97260273972603     0.059210526315789345	5092  1.97260273972603      0.05263157894736699
5092  1.97260273972603      0.05263157894736699	5093  1.97260273972603     0.052287581699346705
5093  1.97260273972603     0.052287581699346705	5094  1.97260273972603     0.048859934853419815
5094  1.97260273972603     0.048859934853419815	5095  1.95499021526419      0.03921568627450751
5095  1.95499021526419      0.03921568627450751	5096  1.95499021526419      0.03921568627450751
5096  1.95499021526419      0.03921568627450751	5097  1.95499021526419      0.03921568627450751
5097  1.95499021526419      0.03921568627450751	5098  1.95499021526419      0.03921568627450751
5098  1.95499021526419      0.03921568627450751	5099  1.95499021526419      0.03606557377049052
5099  1.95499021526419      0.03606557377049052	5100  2.07827788649706      0.07189542483660208
5100  2.07827788649706      0.07189542483660208	5101  2.07827788649706      0.07443365695792858
5101  2.07827788649706      0.07443365695792858	5102  2.07827788649706      0.07741935483870856
5102  2.07827788649706      0.07741935483870856	5103  2.07827788649706       0.0809061488673135
5103  2.07827788649706       0.0809061488673135	5104  2.07827788649706      0.08387096774193564
5104  2.07827788649706      0.08387096774193564	5105  2.07827788649706      0.08387096774193564
5105  2.07827788649706      0.08387096774193564	5106  1.95499021526419     0.029508196721312246
5106  1.95499021526419     0.029508196721312246	5107  1.95499021526419     0.029508196721312246
5107  1.95499021526419     0.029508196721312246	5108  1.95499021526419     0.029508196721312246
5108  1.95499021526419     0.029508196721312246	5109  1.95499021526419      0.02631578947368435
5109  1.95499021526419      0.02631578947368435	5110  1.95499021526419      0.02631578947368435
5110  1.95499021526419      0.02631578947368435	5111  1.95499021526419     0.023102310231022678
5111  1.95499021526419     0.023102310231022678	5112  1.95499021526419      0.02631578947368435
5112  1.95499021526419      0.02631578947368435	5113  1.95499021526419     0.019607843137255384
5113  1.95499021526419     0.019607843137255384	5114  1.95499021526419     0.019607843137255384
5114  1.95499021526419     0.019607843137255384	5115  1.95499021526419     0.019607843137255384
5115  1.95499021526419     0.019607843137255384	5116  1.95499021526419     0.019607843137255384
5116  1.95499021526419     0.019607843137255384	5117  1.95499021526419     0.019607843137255384
5117  1.95499021526419     0.019607843137255384	5118  1.95499021526419     0.016393442622950734
5118  1.95499021526419     0.016393442622950734	5119  1.95499021526419     0.016393442622950664
5119  1.95499021526419     0.016393442622950664	5120  1.95499021526419     0.016393442622950664
5120  1.95499021526419     0.016393442622950664	5121  1.95499021526419     0.016393442622950664
5121  1.95499021526419     0.016393442622950664	5122  1.95499021526419     0.009771986970684215
5122  1.95499021526419     0.009771986970684215	5123  1.95499021526419     0.013157894736841376
5123  1.95499021526419     0.013157894736841376	5124  1.91976516634051     0.006535947712417903
5124  1.91976516634051     0.006535947712417903	5125  1.91976516634051     0.009836065573769101
5125  1.91976516634051     0.009836065573769101	5126  1.91976516634051     0.009771986970684215
5126  1.91976516634051     0.009771986970684215	5127  1.91976516634051     0.009771986970684215
5127  1.91976516634051     0.009771986970684215	5128  1.91976516634051     0.009771986970684215
5128  1.91976516634051     0.009771986970684215	5129  1.91976516634051     0.006535947712417903
5129  1.91976516634051     0.006535947712417903	5130  2.07827788649706      0.09324758842443742
5130  2.07827788649706      0.09324758842443742	5131  2.07827788649706      0.09324758842443742
5131  2.07827788649706      0.09324758842443742	5132  2.07827788649706      0.09324758842443742
5132  2.07827788649706      0.09324758842443742	5133  2.07827788649706      0.10256410256410302
5133  2.07827788649706      0.10256410256410302	5134  2.07827788649706       0.1061093247588436
5134  2.07827788649706       0.1061093247588436	5135  2.07827788649706       0.1061093247588436
5135  2.07827788649706       0.1061093247588436	5136  2.07827788649706      0.10967741935484059
5136  2.07827788649706      0.10967741935484059	5137  2.07827788649706      0.11254019292604744
5137  2.07827788649706      0.11254019292604744	5138  2.07827788649706       0.1161290322580658
5138  2.07827788649706       0.1161290322580658	5139  2.07827788649706      0.12179487179487132
5139  2.07827788649706      0.12179487179487132	5140  2.07827788649706       0.1197411003236248
5140  2.07827788649706       0.1197411003236248	5141  2.07827788649706      0.11400651465797952
5141  2.07827788649706      0.11400651465797952	5142  2.07827788649706      0.11764705882352919
5142  2.07827788649706      0.11764705882352919	5143  2.07827788649706      0.11764705882352919
5143  2.07827788649706      0.11764705882352919	5144  2.07827788649706      0.11764705882352919
5144  2.07827788649706      0.11764705882352919	5145  2.07827788649706      0.12337662337662429
5145  2.07827788649706      0.12337662337662429	5146  2.07827788649706      0.12337662337662429
5146  2.07827788649706      0.12337662337662429	5147  2.07827788649706      0.13355048859934815
5147  2.07827788649706      0.13355048859934815	5148  2.07827788649706      0.13355048859934815
5148  2.07827788649706      0.13355048859934815	5149  2.07827788649706      0.13355048859934815
5149  2.07827788649706      0.13355048859934815	5150  2.07827788649706      0.13355048859934815
5150  2.07827788649706      0.13355048859934815	5151  2.07827788649706      0.13636363636363505
5151  2.07827788649706      0.13636363636363505	5152  2.07827788649706      0.14006514657980396
5152  2.07827788649706      0.14006514657980396	5153  2.07827788649706      0.14285714285714285
5153  2.07827788649706      0.14285714285714285	5154  2.07827788649706      0.14285714285714285
5154  2.07827788649706      0.14285714285714285	5155  2.07827788649706       0.1465798045602613
5155  2.07827788649706       0.1465798045602613	5156  2.07827788649706      0.14285714285714285
5156  2.07827788649706      0.14285714285714285	5157  2.07827788649706      0.14657980456026132
5157  2.07827788649706      0.14657980456026132	5158  2.07827788649706      0.15032679738562238
5158  2.07827788649706      0.15032679738562238	5159  2.07827788649706      0.15032679738562238
5159  2.07827788649706      0.15032679738562238	5160  2.07827788649706      0.15032679738562238
5160  2.07827788649706      0.15032679738562238	5161  2.07827788649706       0.1558441558441584
5161  2.07827788649706       0.1558441558441584	5162  2.07827788649706      0.15686274509804005
5162  2.07827788649706      0.15686274509804005	5163  2.07827788649706      0.15686274509804005
5163  2.07827788649706      0.15686274509804005	5164  2.07827788649706      0.15686274509804005
5164  2.07827788649706      0.15686274509804005	5165  2.07827788649706      0.15686274509804005
5165  2.07827788649706      0.15686274509804005	5166  2.07827788649706      0.15686274509804005
5166  2.07827788649706      0.15686274509804005	5167  2.07827788649706      0.15686274509804005
5167  2.07827788649706      0.15686274509804005	5168  2.07827788649706      0.15686274509804005
5168  2.07827788649706      0.15686274509804005	5169  2.07827788649706      0.15686274509804005
5169  2.07827788649706      0.15686274509804005	5170  2.07827788649706      0.16447368421052672
5170  2.07827788649706      0.16447368421052672	5171  2.07827788649706       0.1606557377049177
5171  2.07827788649706       0.1606557377049177	5172  2.07827788649706       0.1606557377049177
5172  2.07827788649706       0.1606557377049177	5173  2.07827788649706       0.1606557377049177
5173  2.07827788649706       0.1606557377049177	5174  2.07827788649706      0.15686274509804005
5174  2.07827788649706      0.15686274509804005	5175  2.07827788649706      0.15686274509804005
5175  2.07827788649706      0.15686274509804005	5176  2.07827788649706       0.1606557377049177
5176  2.07827788649706       0.1606557377049177	5177  2.07827788649706       0.1606557377049177
5177  2.07827788649706       0.1606557377049177	5178  1.91976516634051     0.009771986970684215
5178  1.91976516634051     0.009771986970684215	5179  1.91976516634051     0.009771986970684215
5179  1.91976516634051     0.009771986970684215	5180  1.91976516634051     0.009771986970684215
5180  1.91976516634051     0.009771986970684215	5181  1.91976516634051     0.009771986970684215
5181  1.91976516634051     0.009771986970684215	5182  1.91976516634051     0.016393442622950664
5182  1.91976516634051     0.016393442622950664	5183  1.91976516634051     0.013157894736841376
5183  1.91976516634051     0.013157894736841376	5184  1.90215264187867      0.10749185667752559
5184  1.90215264187867      0.10749185667752559	5185  1.90215264187867      0.11111111111111116
5185  1.90215264187867      0.11111111111111116	5186  1.90215264187867      0.11400651465798102
5186  1.90215264187867      0.11400651465798102	5187  1.90215264187867      0.11400651465798102
5187  1.90215264187867      0.11400651465798102	5188  1.90215264187867      0.11400651465798102
5188  1.90215264187867      0.11400651465798102	5189  1.90215264187867      0.11400651465798102
5189  1.90215264187867      0.11400651465798102	5190  1.90215264187867      0.11400651465798102
5190  1.90215264187867      0.11400651465798102	5191  1.90215264187867      0.11400651465798102
5191  1.90215264187867      0.11400651465798102	5192  1.90215264187867      0.12131147540983807
5192  1.90215264187867      0.12131147540983807	5193  1.90215264187867       0.1176470588235307
5193  1.90215264187867       0.1176470588235307	5194  1.90215264187867      0.12131147540983807
5194  1.90215264187867      0.12131147540983807	5195  1.90215264187867      0.12131147540983807
5195  1.90215264187867      0.12131147540983807	5196  1.90215264187867      0.12131147540983807
5196  1.90215264187867      0.12131147540983807	5197  1.90215264187867      0.12131147540983807
5197  1.90215264187867      0.12131147540983807	5198  1.90215264187867      0.12131147540983807
5198  1.90215264187867      0.12131147540983807	5199  1.90215264187867      0.12131147540983807
5199  1.90215264187867      0.12131147540983807	5200  1.90215264187867      0.12131147540983807
5200  1.90215264187867      0.12131147540983807	5201  1.90215264187867      0.12131147540983807
5201  1.90215264187867      0.12131147540983807	5202  1.90215264187867      0.12131147540983807
5202  1.90215264187867      0.12131147540983807	5203  1.90215264187867      0.12418300653594877
5203  1.90215264187867      0.12418300653594877	5204  1.90215264187867      0.12131147540983807
5204  1.90215264187867      0.12131147540983807	5205  1.90215264187867      0.12131147540983807
5205  1.90215264187867      0.12131147540983807	5206  1.90215264187867      0.12131147540983807
5206  1.90215264187867      0.12131147540983807	5207  1.90215264187867      0.12131147540983807
5207  1.90215264187867      0.12131147540983807	5208  1.90215264187867      0.12418300653594877
5208  1.90215264187867      0.12418300653594877	5209  1.90215264187867       0.1176470588235307
5209  1.90215264187867       0.1176470588235307	5210  1.90215264187867       0.1176470588235307
5210  1.90215264187867       0.1176470588235307	5211  1.90215264187867      0.11400651465798102
5211  1.90215264187867      0.11400651465798102	5212  1.90215264187867      0.11400651465798102
5212  1.90215264187867      0.11400651465798102	5213  1.90215264187867      0.12131147540983807
5213  1.90215264187867      0.12131147540983807	5214  1.90215264187867       0.1176470588235307
5214  1.90215264187867       0.1176470588235307	5215  1.90215264187867      0.11400651465798102
5215  1.90215264187867      0.11400651465798102	5216  1.90215264187867       0.1176470588235307
5216  1.90215264187867       0.1176470588235307	5217  1.90215264187867       0.1176470588235307
5217  1.90215264187867       0.1176470588235307	5218  1.90215264187867       0.1176470588235307
5218  1.90215264187867       0.1176470588235307	5219  1.90215264187867       0.1176470588235307
5219  1.90215264187867       0.1176470588235307	5220  1.90215264187867      0.11475409836065645
5220  1.90215264187867      0.11475409836065645	5221  1.90215264187867      0.11475409836065645
5221  1.90215264187867      0.11475409836065645	5222  1.90215264187867      0.11400651465798102
5222  1.90215264187867      0.11400651465798102	5223  1.90215264187867      0.11400651465798102
5223  1.90215264187867      0.11400651465798102	5224  1.90215264187867      0.11475409836065645
5224  1.90215264187867      0.11475409836065645	5225  1.90215264187867      0.11400651465798102
5225  1.90215264187867      0.11400651465798102	5226  1.90215264187867      0.11184210526315809
5226  1.90215264187867      0.11184210526315809	5227  1.90215264187867      0.11184210526315809
5227  1.90215264187867      0.11184210526315809	5228  1.90215264187867      0.11184210526315809
5228  1.90215264187867      0.11184210526315809	5229  1.90215264187867      0.11184210526315809
5229  1.90215264187867      0.11184210526315809	5230  1.90215264187867       0.1045751633986934
5230  1.90215264187867       0.1045751633986934	5231  1.90215264187867       0.1045751633986934
5231  1.90215264187867       0.1045751633986934	5232  1.90215264187867       0.1045751633986934
5232  1.90215264187867       0.1045751633986934	5233  1.83170254403131      0.09446254071661103
5233  1.83170254403131      0.09446254071661103	5234  1.83170254403131      0.09150326797385429
5234  1.83170254403131      0.09150326797385429	5235  1.83170254403131      0.09150326797385429
5235  1.83170254403131      0.09150326797385429	5236  1.83170254403131      0.09150326797385429
5236  1.83170254403131      0.09150326797385429	5237  1.83170254403131       0.0814332247557015
5237  1.83170254403131       0.0814332247557015	5238  1.83170254403131       0.0814332247557015
5238  1.83170254403131       0.0814332247557015	5239  1.83170254403131       0.0814332247557015
5239  1.83170254403131       0.0814332247557015	5240  1.83170254403131       0.0814332247557015
5240  1.83170254403131       0.0814332247557015	5241  1.83170254403131      0.07792207792207839
5241  1.83170254403131      0.07792207792207839	5242  1.83170254403131      0.07189542483660209
5242  1.83170254403131      0.07189542483660209	5243  1.83170254403131      0.07189542483660209
5243  1.83170254403131      0.07189542483660209	5244  1.91976516634051     0.016393442622950664
5244  1.91976516634051     0.016393442622950664	5245  1.91976516634051     0.019607843137255384
5245  1.91976516634051     0.019607843137255384	5246  1.91976516634051       0.0229508196721323
5246  1.91976516634051       0.0229508196721323	5247  1.91976516634051       0.0229508196721323
5247  1.91976516634051       0.0229508196721323	5248  1.91976516634051       0.0229508196721323
5248  1.91976516634051       0.0229508196721323	5249  1.91976516634051     0.026143790849673394
5249  1.91976516634051     0.026143790849673394	5250  1.83170254403131       0.0714285714285706
5250  1.83170254403131       0.0714285714285706	5251  1.83170254403131      0.06796116504854219
5251  1.83170254403131      0.06796116504854219	5252  1.83170254403131      0.06796116504854219
5252  1.83170254403131      0.06796116504854219	5253  1.83170254403131      0.05573770491803196
5253  1.83170254403131      0.05573770491803196	5254  1.83170254403131      0.05228758169934662
5254  1.83170254403131      0.05228758169934662	5255  1.83170254403131      0.05228758169934662
5255  1.83170254403131      0.05228758169934662	5256  1.83170254403131      0.04918032786885206
5256  1.83170254403131      0.04918032786885206	5257  1.83170254403131      0.04918032786885206
5257  1.83170254403131      0.04918032786885206	5258  1.83170254403131       0.0457516339869271
5258  1.83170254403131       0.0457516339869271	5259  1.79647749510763      0.04545454545454618
5259  1.79647749510763      0.04545454545454618	5260  1.79647749510763     0.042345276872964265
5260  1.79647749510763     0.042345276872964265	5261  1.79647749510763      0.03921568627450928
5261  1.79647749510763      0.03921568627450928	5262  1.79647749510763      0.03921568627450928
5262  1.79647749510763      0.03921568627450928	5263  1.79647749510763      0.03921568627450928
5263  1.79647749510763      0.03921568627450928	5264  1.79647749510763     0.035830618892506945
5264  1.79647749510763     0.035830618892506945	5265  1.79647749510763      0.03921568627450928
5265  1.79647749510763      0.03921568627450928	5266  1.79647749510763      0.03921568627450928
5266  1.79647749510763      0.03921568627450928	5267  1.79647749510763     0.035830618892506945
5267  1.79647749510763     0.035830618892506945	5268  1.79647749510763     0.035830618892506945
5268  1.79647749510763     0.035830618892506945	5269  1.79647749510763      0.03267973856209132
5269  1.79647749510763      0.03267973856209132	5270  1.79647749510763      0.03267973856209132
5270  1.79647749510763      0.03267973856209132	5271  1.79647749510763     0.029508196721312246
5271  1.79647749510763     0.029508196721312246	5272  1.79647749510763     0.029508196721312246
5272  1.79647749510763     0.029508196721312246	5273  1.79647749510763     0.029508196721312246
5273  1.79647749510763     0.029508196721312246	5274  1.91976516634051      0.02631578947368435
5274  1.91976516634051      0.02631578947368435	5275  1.91976516634051     0.029315960912052942
5275  1.91976516634051     0.029315960912052942	5276  1.91976516634051      0.03267973856209132
5276  1.91976516634051      0.03267973856209132	5277  1.91976516634051      0.03606557377049052
5277  1.91976516634051      0.03606557377049052	5278  1.91976516634051      0.03606557377049052
5278  1.91976516634051      0.03606557377049052	5279  1.91976516634051      0.03921568627450751
5279  1.91976516634051      0.03921568627450751	5280  1.91976516634051     0.042622950819670505
5280  1.91976516634051     0.042622950819670505	5281  1.91976516634051     0.042622950819670505
5281  1.91976516634051     0.042622950819670505	5282  1.91976516634051       0.0457516339869271
5282  1.91976516634051       0.0457516339869271	5283  1.91976516634051       0.0557377049180337
5283  1.91976516634051       0.0557377049180337	5284  1.91976516634051       0.0557377049180337
5284  1.91976516634051       0.0557377049180337	5285  1.91976516634051       0.0557377049180337
5285  1.91976516634051       0.0557377049180337	5286  1.91976516634051       0.0557377049180337
5286  1.91976516634051       0.0557377049180337	5287  1.91976516634051      0.05228758169934662
5287  1.91976516634051      0.05228758169934662	5288  1.91976516634051      0.05537459283387706
5288  1.91976516634051      0.05537459283387706	5289  1.91976516634051      0.05882352941176622
5289  1.91976516634051      0.05882352941176622	5290  1.91976516634051       0.0557377049180337
5290  1.91976516634051       0.0557377049180337	5291  1.91976516634051      0.06229508196721359
5291  1.91976516634051      0.06229508196721359	5292  1.91976516634051      0.06229508196721359
5292  1.91976516634051      0.06229508196721359	5293  1.91976516634051       0.0653594771241825
5293  1.91976516634051       0.0653594771241825	5294  1.91976516634051       0.0653594771241825
5294  1.91976516634051       0.0653594771241825	5295  1.91976516634051      0.06885245901639361
5295  1.91976516634051      0.06885245901639361	5296  1.91976516634051       0.0723684210526307
5296  1.91976516634051       0.0723684210526307	5297  1.91976516634051       0.0723684210526307
5297  1.91976516634051       0.0723684210526307	5298  1.91976516634051       0.0723684210526307
5298  1.91976516634051       0.0723684210526307	5299  1.91976516634051      0.07894736842105304
5299  1.91976516634051      0.07894736842105304	5300  1.91976516634051      0.07894736842105304
5300  1.91976516634051      0.07894736842105304	5301  1.91976516634051      0.08250825082508355
5301  1.91976516634051      0.08250825082508355	5302  1.91976516634051      0.08609271523178798
5302  1.91976516634051      0.08609271523178798	5303  1.91976516634051      0.08496732026143802
5303  1.91976516634051      0.08496732026143802	5304  1.91976516634051      0.08852459016393516
5304  1.91976516634051      0.08852459016393516	5305  1.91976516634051      0.08496732026143802
5305  1.91976516634051      0.08496732026143802	5306  1.91976516634051      0.08496732026143802
5306  1.91976516634051      0.08496732026143802	5307  1.91976516634051      0.08496732026143802
5307  1.91976516634051      0.08496732026143802	5308  1.91976516634051      0.08794788273615557
5308  1.91976516634051      0.08794788273615557	5309  1.91976516634051       0.0909090909090907
5309  1.91976516634051       0.0909090909090907	5310  1.91976516634051      0.09446254071661103
5310  1.91976516634051      0.09446254071661103	5311  1.91976516634051      0.09446254071661103
5311  1.91976516634051      0.09446254071661103	5312  1.91976516634051      0.09446254071661103
5312  1.91976516634051      0.09446254071661103	5313  1.91976516634051      0.10163934426229508
5313  1.91976516634051      0.10163934426229508	5314  1.91976516634051      0.10163934426229508
5314  1.91976516634051      0.10163934426229508	5315  1.91976516634051       0.1045751633986934
5315  1.91976516634051       0.1045751633986934	5316  1.91976516634051       0.1045751633986934
5316  1.91976516634051       0.1045751633986934	5317  1.91976516634051       0.1045751633986934
5317  1.91976516634051       0.1045751633986934	5318  1.90215264187867       0.1045751633986934
5318  1.90215264187867       0.1045751633986934	5319  1.90215264187867       0.1045751633986934
5319  1.90215264187867       0.1045751633986934	5320  1.90215264187867       0.1081967213114749
5320  1.90215264187867       0.1081967213114749	5321  1.79647749510763     0.026143790849674983
5321  1.79647749510763     0.026143790849674983	5322  1.79647749510763     0.026143790849674983
5322  1.79647749510763     0.026143790849674983	5323  1.79647749510763     0.026143790849674983
5323  1.79647749510763     0.026143790849674983	5324  1.79647749510763       0.0229508196721323
5324  1.79647749510763       0.0229508196721323	5325  1.79647749510763       0.0229508196721323
5325  1.79647749510763       0.0229508196721323	5326  1.79647749510763       0.0229508196721323
5326  1.79647749510763       0.0229508196721323	5327  1.79647749510763      0.09150326797385429
5327  1.79647749510763      0.09150326797385429	5328  1.79647749510763      0.09446254071661103
5328  1.79647749510763      0.09446254071661103	5329  1.79647749510763      0.09446254071661103
5329  1.79647749510763      0.09446254071661103	5330  1.79647749510763      0.10097719869706837
5330  1.79647749510763      0.10097719869706837	5331  1.79647749510763       0.1045751633986934
5331  1.79647749510763       0.1045751633986934	5332  1.79647749510763       0.1045751633986934
5332  1.79647749510763       0.1045751633986934	5333  1.79647749510763       0.1045751633986934
5333  1.79647749510763       0.1045751633986934	5334  1.79647749510763       0.1081967213114749
5334  1.79647749510763       0.1081967213114749	5335  1.79647749510763       0.1081967213114749
5335  1.79647749510763       0.1081967213114749	5336  1.79647749510763       0.1081967213114749
5336  1.79647749510763       0.1081967213114749	5337  1.79647749510763       0.1081967213114749
5337  1.79647749510763       0.1081967213114749	5338  1.79647749510763      0.11400651465798102
5338  1.79647749510763      0.11400651465798102	5339  1.79647749510763       0.1081967213114749
5339  1.79647749510763       0.1081967213114749	5340  1.79647749510763      0.11111111111111116
5340  1.79647749510763      0.11111111111111116	5341  1.79647749510763      0.11400651465798102
5341  1.79647749510763      0.11400651465798102	5342  1.79647749510763      0.11400651465798102
5342  1.79647749510763      0.11400651465798102	5343  1.79647749510763       0.1176470588235307
5343  1.79647749510763       0.1176470588235307	5344  1.79647749510763       0.1176470588235307
5344  1.79647749510763       0.1176470588235307	5345  1.79647749510763      0.12131147540983807
5345  1.79647749510763      0.12131147540983807	5346  1.79647749510763      0.12131147540983807
5346  1.79647749510763      0.12131147540983807	5347  1.79647749510763      0.12131147540983807
5347  1.79647749510763      0.12131147540983807	5348  1.79647749510763      0.12131147540983807
5348  1.79647749510763      0.12131147540983807	5349  1.79647749510763      0.12131147540983807
5349  1.79647749510763      0.12131147540983807	5350  1.79647749510763      0.12418300653594877
5350  1.79647749510763      0.12418300653594877	5351  1.79647749510763      0.12418300653594877
5351  1.79647749510763      0.12418300653594877	5352  1.79647749510763      0.12786885245901822
5352  1.79647749510763      0.12786885245901822	5353  1.79647749510763      0.12786885245901822
5353  1.79647749510763      0.12786885245901822	5354  1.79647749510763      0.12786885245901822
5354  1.79647749510763      0.12786885245901822	5355  1.79647749510763      0.12786885245901822
5355  1.79647749510763      0.12786885245901822	5356  1.79647749510763      0.12500000000000278
5356  1.79647749510763      0.12500000000000278	5357  1.79647749510763      0.12786885245901822
5357  1.79647749510763      0.12786885245901822	5358  1.79647749510763      0.12500000000000278
5358  1.79647749510763      0.12500000000000278	5359  1.79647749510763      0.12500000000000278
5359  1.79647749510763      0.12500000000000278	5360  1.79647749510763      0.12211221122112235
5360  1.79647749510763      0.12211221122112235	5361  1.79647749510763      0.11475409836065645
5361  1.79647749510763      0.11475409836065645	5362  1.79647749510763      0.11475409836065645
5362  1.79647749510763      0.11475409836065645	5363  1.79647749510763      0.11475409836065645
5363  1.79647749510763      0.11475409836065645	5364  1.79647749510763      0.11475409836065645
5364  1.79647749510763      0.11475409836065645	5365  1.79647749510763      0.11475409836065645
5365  1.79647749510763      0.11475409836065645	5366  1.79647749510763      0.11475409836065645
5366  1.79647749510763      0.11475409836065645	5367  1.79647749510763      0.11111111111111294
5367  1.79647749510763      0.11111111111111294	5368  1.79647749510763      0.11111111111111294
5368  1.79647749510763      0.11111111111111294	5369  1.79647749510763      0.11111111111111294
5369  1.79647749510763      0.11111111111111294	5370  1.79647749510763      0.11111111111111294
5370  1.79647749510763      0.11111111111111294	5371  1.81409001956947      0.10819672131147672
5371  1.81409001956947      0.10819672131147672	5372  1.81409001956947      0.10819672131147672
5372  1.81409001956947      0.10819672131147672	5373  1.81409001956947      0.10526315789473757
5373  1.81409001956947      0.10526315789473757	5374  1.81409001956947       0.0986842105263152
5374  1.81409001956947       0.0986842105263152	5375  1.81409001956947      0.10231023102310244
5375  1.81409001956947      0.10231023102310244	5376  1.79647749510763      0.09150326797385605
5376  1.79647749510763      0.09150326797385605	5377  1.77886497064579      0.08143322475569974
5377  1.77886497064579      0.08143322475569974	5378  1.77886497064579      0.07189542483660033
5378  1.77886497064579      0.07189542483660033	5379  1.77886497064579      0.07189542483660033
5379  1.77886497064579      0.07189542483660033	5380  1.77886497064579      0.07189542483660033
5380  1.77886497064579      0.07189542483660033	5381  1.77886497064579      0.06493506493506607
5381  1.77886497064579      0.06493506493506607	5382  1.77886497064579      0.06188925081433278
